x;y
500;713
600;972
700;1407
800;1317
900;1444
1000;1314
1100;1390
1200;1507
1300;1782
1400;1705
1500;1926
1600;2144
1700;2651
1800;2647
1900;2823
2000;2749
2100;3008
2200;3177
2300;3529
2400;3563
2500;3915
2600;4313
2700;4713
2800;4779
2900;5128
3000;5497
3100;5126
3200;5114
3300;5440
3400;5730
3500;5411
3600;7082
3700;6695
3800;6853
3900;7054
4000;8071
4100;7371
4200;7289
4300;7969
4400;8785
4500;8017
4600;7475
4700;7562
4800;8280
4900;9668
5000;9842
5100;9077
5200;9006
5300;9338
5400;9520
5500;9730
5600;10016
5700;10775
5800;10626
5900;11687
6000;11448
6100;10979
6200;10746
6300;10645
6400;12363
6500;12160
6600;10944
6700;10218
6800;12482
7000;13451
7100;14036
7300;18789
7500;13770
7600;13037
7700;15994
7800;14947
7900;14952
8000;16909
8100;13662
8200;13994
8400;17073
8500;18469
8600;17645
8700;15350
8800;16035
8900;16714
9000;16226
9100;17296
9200;19038
9300;20290
9400;21754
9500;22461
9600;21395
9700;20951
9800;20377
9900;20278
