x;y
500;3494
600;4621
700;5955
800;12940
900;7720
1000;6175
1100;8555
1200;22808
1300;9113
1400;7694
1500;13001
1600;23358
1700;9378
1800;16128
1900;16311
2000;14924
2100;18128
2200;20330
2300;14584
2400;19262
2500;15623
2600;18292
2700;42453
2800;17622
2900;19944
3000;23020
3100;23651
3200;24163
3300;25040
3400;25513
3500;75462
3600;31209
3700;27729
3800;33383
3900;34959
4000;33222
4100;27595
4200;35693
4300;27588
4400;27278
4500;30688
4600;32380
4700;33298
4800;32969
4900;35430
5000;37627
5100;35628
5200;34720
5300;31715
5400;40100
5500;31833
5600;37253
5700;39701
5800;41255
5900;42490
6000;38831
6100;43215
6200;34480
6300;34744
6400;36315
6500;38693
6600;39403
6700;40572
6800;38982
6900;37470
7000;38880
7100;38973
7200;40700
7300;40816
7400;40730
7500;43178
7600;134357
7700;43037
7800;43306
7900;44432
8000;47876
8100;48362
8200;46288
8300;48018
8400;56197
8500;49798
8600;52898
8700;53295
8800;50472
8900;50725
9000;51725
9100;52592
9200;52739
9300;52493
9400;55875
9500;54638
9600;55324
9700;57877
9800;59592
9900;57508
