x;y
500;1934
600;2291
700;3574
800;4384
900;3741
1000;4178
1100;4253
1200;4511
1300;5085
1400;5871
1500;7422
1600;7357
1700;7869
1800;8773
1900;8969
2000;10185
2100;10265
2200;10699
2300;9913
2400;10505
2500;12545
2600;12940
2700;14041
2800;13097
2900;13966
3000;16025
3100;16316
3200;15697
3300;15256
3400;25005
3500;17713
3600;16956
3700;20589
3800;20024
3900;22284
4000;22198
4100;23190
4200;21967
4300;22546
4400;26835
4500;25722
4600;31590
4700;42089
4800;38598
4900;28400
5000;24235
5100;27431
5200;27760
5300;27656
5400;29765
5500;30641
5600;31600
5700;33304
5800;42555
5900;30492
6000;37857
6100;33671
6200;35358
6300;32907
6400;37151
6500;37421
6600;35891
6700;39276
6800;39089
6900;46762
7000;53385
7100;44809
7200;40158
7300;47178
7400;53129
7500;58066
7600;43291
7700;45396
7800;74237
7900;59583
8000;63364
8100;56154
8200;59538
8300;59759
8400;62599
8500;62840
8600;60702
8700;58164
8800;55356
8900;61276
9000;57604
9100;54195
9200;58766
9300;64217
9400;70564
9500;59833
9600;82622
9700;73615
9800;70744
9900;77769
