x;y
500;7027
600;7846
700;21362
800;11478
900;13920
1000;13066
1100;21096
1200;13929
1300;11664
1400;33548
1500;60565
1600;25005
1700;60554
1800;43573
1900;45210
2000;29077
2100;82439
2200;122021
2300;65494
2400;42987
2500;84253
2600;158505
2700;88129
2800;159993
2900;142893
3000;171389
3100;184465
3200;36294
3300;104495
3400;42378
3500;44100
3600;52980
3700;302160
3800;399787
3900;205911
4000;345625
4100;442702
4200;164160
4300;595952
4400;615513
4500;498230
4600;377658
4700;220888
4800;180287
4900;838376
5000;647605
5100;347031
5200;539046
5300;265115
5400;310885
5500;330156
5600;602475
5700;365279
5800;333785
5900;1170974
6000;482429
6100;1488117
6200;596829
6300;358584
6400;124862
6500;294534
6600;455995
6700;253643
6800;265418
6900;539623
7000;405212
7100;822386
7200;950199
7300;190179
7400;375533
7500;248578
7600;132585
7700;759309
7800;473788
7900;1121095
8000;1483634
8100;836406
8200;1434948
8300;1100504
8400;613295
8500;470121
8600;1511785
8700;911378
8800;368091
8900;728789
9000;387349
9100;689949
9200;2047306
9300;1015278
9400;2345856
9500;2049085
9600;829768
9700;1242323
9800;2496759
9900;1435663
