x;y
500;618
600;834
700;1095
800;1063
900;1383
1000;1453
1100;1583
1200;1600
1300;1771
1400;1862
1500;1981
1600;2189
1700;2429
1800;3041
1900;3482
2000;3279
2100;4033
2200;5196
2300;5508
2400;5818
2500;5507
2600;4483
2700;4877
2800;4968
2900;6741
3000;5993
3100;7376
3200;6236
3300;5960
3400;6833
3500;6292
3600;6802
3700;6502
3800;6432
3900;6620
4000;8676
4100;9885
4200;7435
4300;7206
4400;8469
4500;8597
4600;8192
4700;9300
4800;8720
4900;9411
5000;9639
5100;9941
5200;10184
5300;11377
5400;10015
5500;10496
5600;10365
5700;10810
5800;11117
5900;13245
6000;11965
6100;12087
6200;12726
6300;12170
6400;13152
6500;13832
6600;13500
6700;12911
6800;15582
6900;13668
7000;17941
7100;16198
7200;14625
7300;15086
7400;16653
7500;15380
7600;18302
7700;16175
7800;15591
7900;14466
8000;16705
8100;16935
8200;19453
8300;21813
8400;17180
8500;17239
8600;17689
8700;17966
8800;18592
8900;19223
9000;19274
9100;19895
9200;19531
9300;19546
9400;20736
9500;20227
9600;21136
9700;25680
9800;26841
9900;26629
