x;y
500;10469
600;13121
700;19423
800;24103
900;26740
1000;35876
1100;33969
1200;43387
1300;50650
1400;48364
1500;62029
1600;63739
1700;107810
1800;92170
1900;95662
2000;120866
2100;120494
2200;137774
2300;143814
2400;165424
2500;162434
2600;176022
2700;219121
2800;212658
2900;231263
3000;237842
3100;251676
3200;255915
3300;274557
3400;296475
3500;303104
3600;318514
3700;318928
3800;338216
3900;330997
4000;377328
4100;380969
4200;394548
4300;381601
4400;467550
4500;508669
4600;558039
4700;561999
4800;575683
4900;616227
5000;630366
5100;656631
5200;698781
5300;703801
5400;749962
5500;783100
5600;803131
5700;833902
5800;848845
5900;918833
6000;913216
6100;943740
6200;953076
6300;1017885
6400;1050436
6500;1051459
6600;1144350
6700;1194604
6800;1228530
6900;1174355
7000;1244274
7100;1231470
7200;1462926
7300;1370573
7400;1796210
7500;1930594
7600;1707352
7700;2016995
7800;1912984
7900;1649255
8000;1647059
8100;1606353
8200;1655290
8300;1731070
8400;1831513
8500;1870108
8600;1890066
8700;2056365
8800;2065619
8900;2115004
9000;2158896
9100;2284047
9200;2073459
9300;1976672
9400;2137699
9500;2103774
9600;2020277
9700;2262981
9800;2435998
9900;2366381
